l	m	queries_per_second	queries_per_second_per_cpu_core	max_resident_megabytes	user_seconds	system_seconds	elapsed_seconds
30	36	26174.69	3271.84	28369.30	1128.52	1465.36	929.34
30	35	212202.90	26525.36	26501.61	1563.03	38.97	115.14
29	36	195507.65	24438.46	26452.43	1702.25	38.51	124.47
30	34	195911.25	24488.91	24478.62	1803.03	27.76	124.01
28	36	162318.44	20289.80	24431.18	2125.50	34.95	149.53
30	33	160803.56	20100.45	23444.82	2238.51	28.04	150.74
30	32	125029.91	15628.74	22928.46	2908.98	28.64	193.47
30	31	97022.85	12127.86	22707.12	3734.34	37.19	248.76
29	35	199770.81	24971.35	22441.26	1766.38	26.81	121.69
29	34	160062.28	20007.79	20426.87	2234.41	25.24	151.30
28	35	148754.99	18594.37	20409.00	2405.93	25.54	162.60
29	33	121713.55	15214.19	19366.31	2889.60	30.22	198.69
29	32	93889.46	11736.18	18843.75	3827.70	33.59	257.59
29	31	72596.65	9074.58	18617.81	4990.75	36.64	332.75
28	34	120159.31	15019.91	18417.15	3009.71	26.20	201.54
28	33	94361.57	11795.20	17368.82	3851.05	28.72	255.67
28	32	67013.60	8376.70	16875.52	5427.62	34.01	359.51
28	31	50261.59	6282.70	16640.05	7218.18	43.15	478.77
